GameID,Username,Rating,Likes,Comment
1,Edward B,4.5,19,"I like Monopoly on occasion. If you play with the rules as written, I don't think it's a horrible game at all. The most interesting part to me is the mid-game where you are really needing to make trades in order to achieve monopolies."
1,Greg M,2.0,45,"For me Monopoly (and practically all other Hasbro games) have descriptions that don't match their actual games, considering most of those are atrocious. Trading is flawed and overtly loose, and in my opinion other games does it way better."
1,TheGeeMan,5.0,6,The rules are the same as monopoly so we were able to play straight away without having to learn new ones. The board is very striking with the existing layout emblazoned with Halo graphics. 
2,ValidRunner,4.5,18,I have used this game in the classroom and at home with my kids. It is not only fun but easily begins a great conversation about their futures and how decisions we make early on can radically affect our future.
2,Alyssa D,5.0,1,I have the electronic version of this game and I love it SO much!! The game is really fun and it still takes a while to play regardless of the electronic money system but it's incredibly fun and a great option for spending time with the family.
2,ExtraFREEZE,5.0,40,It had been years since I had played this game until we bought this for our kids. I personally think this is a great version for kids to play and learn the Game of Life.
3,CyberHunter47,5.0,24,"The Clue Board game is simply must. Let me repeat its a ""staple"" to every families game set especially at times like this where we are at home. The game is a classic."
3,Alexis W,2.5,31,"""The Classic Mystery Game"" - totally nerfed. They changed a few things from the OG, including character names and rooms. They also reduced the number of spaces by making them larger, which now means you can get from any room of the house."
3,BubsPubs,5.0,49,"If you like the original Cluedo game, then you will love the twist in this. After your regular go it is pretty much truth or lie, the other players have to call you out or go along with it. "
4,Becca B,3.0,49,There aren’t enough special cards and they have changed the end so any color wins instead of an exact color. Also the game cards themselves are very small and thin and I had to punch them out. 
4,FunkyMonkey,4.0,44,Candy land is a classic game that’s been around for a long time and it’s good to see it’s still around.
4,Felicia G,4.5,32,"Candy Land is a great game to play with young children. It’s easy to understand game play. So, even very young children can play it. It helps children with learning colors and counting."
5,John T,4.0,45,This is a classic game. I played this with my 10 year old and we had fun for a few hours. There are different ways you can stratagize to win.
5,Wonderhunt,2.0,0,"Having a board with a physical ship-based piece as a target does add slightly to the basic game which is purely, and literally, a hit-or-miss guessing game . No doubt there are computer versions and my guess is that they would be easier and fun."
5,Sophie K,4.0,49,This is a great game to play with your family. It is a two person game so it is a little hard to play if there are a bunch of people. Also it is a little hard to play with younger kids if they don't understand the game and how it works.
6,Smith T,4.5,31,This game is an excellent choice for boys and girls of the ages 9+. The only drawback for some is that it is incredibly long and can take up to 6 hours to complete a 3 player classic game. 2 player is considerably shorter at 2 - 3 hours.
6,Tamara D,4.5,24,"This game makes you your brain and is a fun way to pass the time. It's very affordable which is also a huge plus. I love the concept of board games with all the electronics these days, but I would change the packaging to make it last longer."
6,Frank J,3.5,48,Bought this for my 9 year old who has grasped the rules much more quickly than my husband. The down side to this edition is the pieces being little figures. I much prefer the old style pieces.
7,Yehuda B,4.5,10,"Like any children's game, playing by the rules - without having to make decisions - is instructional for children. It forces them to accept outside authority (and not do only what they want to do), accept wins and losses gracefully."
7,Madelyn M,1.0,49,"It is perhaps unsurprising that I absolutely despise this so-called ""game"". Deplorable in every single way, with gameplay that can possibly procrastinate endlessly with no decision-making at all."
